Timestamp,Trading Date Time,Symbol,Price,Price Notation,Price Currency,Executed Shares,Notional Amount,Notional Currency,Execution Venue,Third Country Trading Venue,Publication Date Time,Trade ID,Transaction To Be Cleared,Market Mechanism,Trading Mode,Transaction Category,Negotiation Flag,Agency Cross Trade,Modification Indicator,Benchmark/Reference Indicator,Special Dividend,Off Book Automated,Price Discovery Process,Algorithmic Indicator,Pre-Trade Transparency Waiver,Portfolio Flag,Contingent Flag,Give-up Flag,Post-Trade Deferral Reason,Deferral Or Enrichment Type,Deferral Illiquid Instrument,Deferral Size Specific,Duplicative Indicator,Duplicative Across Jurisdiction,Intra-Group Indicator,Jurisdiction
15:01:41,2026-09-15T14:01:41.252866Z,FR0000130809,00000073.190000000,MONE,EUR,000000000050,00003659.500000000,EUR,CEUX,    ,2026-09-15T14:01:41.252866Z,00025000371S,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.282822Z,FR0000053381,00000009.325000000,MONE,EUR,000000000128,00001193.600000000,EUR,CEUX,    ,2026-09-15T14:01:41.282822Z,0002400026G2,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.301706Z,FR0000130809,00000073.200000000,MONE,EUR,000000000017,00001244.400000000,EUR,CEUX,    ,2026-09-15T14:01:41.301706Z,00025000371T,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.315895Z,FR0000131104,00000102.220000000,MONE,EUR,000000000006,00000613.320000000,EUR,CEUX,    ,2026-09-15T14:01:41.315895Z,0002400026G3,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.315911Z,FR0000131104,00000102.220000000,MONE,EUR,000000000008,00000817.760000000,EUR,CEUX,    ,2026-09-15T14:01:41.315911Z,0002400026G4,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.315938Z,FR0000131104,00000102.220000000,MONE,EUR,000000000149,00015230.780000000,EUR,CEUX,    ,2026-09-15T14:01:41.315938Z,0002400026G5,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.315991Z,FR0000131104,00000102.220000000,MONE,EUR,000000000126,00012879.720000000,EUR,CEUD,    ,2026-09-15T14:01:41.315991Z,000F400026G6,TRUE ,DB  ,CT  ,D   ,    ,    ,    ,RFPT,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.371110Z,IT0005211237,00000008.182000000,MONE,EUR,000000000067,00000548.194000000,EUR,BEUP,    ,2026-09-15T14:01:41.371110Z,000290005QFR,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.404947Z,DK0060079531,00001264.250000000,MONE,DKK,000000000006,00007585.500000000,DKK,BEUP,    ,2026-09-15T14:01:41.404947Z,0002C0008LO1,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.404947Z,DK0060079531,00001264.250000000,MONE,DKK,000000000003,00003792.750000000,DKK,BEUP,    ,2026-09-15T14:01:41.404947Z,0002C0008LO2,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.404947Z,DK0060079531,00001264.250000000,MONE,DKK,000000000005,00006321.250000000,DKK,BEUP,    ,2026-09-15T14:01:41.404947Z,0002C0008LO3,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.451021Z,PTEDP0AM0009,00000004.659000000,MONE,EUR,000000000626,00002916.534000000,EUR,BEUP,    ,2026-09-15T14:01:41.451021Z,000260003YP7,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.513474Z,IT0005508921,00000011.858000000,MONE,EUR,000000000418,00004956.644000000,EUR,BEUP,    ,2026-09-15T14:01:41.513474Z,000290005QFS,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
